participant_id,frame,question,main,follow_up,choice,evaluation
154,gain,Unemployment,True,,1,60
154,gain,Painting,True,,0,70
154,gain,Virus,True,,1,30
158,loss,Disease,True,,2,72
158,loss,Disease,,True,0,36
158,loss,Unemployment,True,,0,93
158,loss,Painting,True,,2,69
158,loss,Painting,,True,0,62
158,loss,Virus,True,,2,58
158,loss,Virus,,True,1,40
159,gain,Disease,True,,0,84
159,gain,Unemployment,True,,1,83
159,gain,Painting,True,,0,63
159,gain,Virus,True,,0,77
161,gain,Disease,True,,0,70
161,gain,Unemployment,True,,1,100
161,gain,Painting,True,,1,80
161,gain,Virus,True,,1,80
163,loss,Disease,True,,1,70
163,loss,Unemployment,True,,0,90
163,loss,Painting,True,,1,70
163,loss,Virus,True,,1,70
168,gain,Disease,True,,0,100
168,gain,Unemployment,True,,1,100
168,gain,Painting,True,,0,100
168,gain,Virus,True,,0,100
170,loss,Disease,True,,1,60
170,loss,Unemployment,True,,0,81
170,loss,Painting,True,,1,91
170,loss,Virus,True,,1,88
172,gain,Disease,True,,0,60
172,gain,Unemployment,True,,1,70
172,gain,Painting,True,,2,68
172,gain,Painting,,True,0,84
172,gain,Virus,True,,0,64
174,loss,Disease,True,,0,50
174,loss,Unemployment,True,,0,80
174,loss,Painting,True,,0,60
174,loss,Virus,True,,0,60
175,gain,Disease,True,,0,64
175,gain,Unemployment,True,,1,68
175,gain,Painting,True,,0,70
175,gain,Virus,True,,0,83
179,loss,Disease,True,,2,53
179,loss,Disease,,True,1,60
179,loss,Unemployment,True,,0,79
179,loss,Painting,True,,1,50
179,loss,Virus,True,,1,69
183,gain,Disease,True,,0,40
183,gain,Unemployment,True,,1,80
183,gain,Painting,True,,0,58
183,gain,Virus,True,,1,62
185,gain,Disease,True,,1,80
185,gain,Unemployment,True,,1,80
185,gain,Painting,True,,1,80
185,gain,Virus,True,,1,80
187,loss,Disease,True,,0,30
187,loss,Unemployment,True,,0,30
187,loss,Painting,True,,1,21
187,loss,Virus,True,,1,70
188,gain,Disease,True,,0,15
188,gain,Unemployment,True,,1,25
188,gain,Painting,True,,0,40
188,gain,Virus,True,,0,20
189,loss,Disease,True,,1,10
189,loss,Unemployment,True,,0,100
189,loss,Painting,True,,0,60
189,loss,Virus,True,,1,40
190,gain,Disease,True,,1,100
190,gain,Unemployment,True,,1,100
190,gain,Painting,True,,0,100
190,gain,Virus,True,,1,100
191,loss,Disease,True,,1,99
191,loss,Unemployment,True,,0,100
191,loss,Painting,True,,2,19
191,loss,Painting,,True,0,54
191,loss,Virus,True,,1,68
192,loss,Disease,True,,1,36
192,loss,Unemployment,True,,0,96
192,loss,Painting,True,,1,40
192,loss,Virus,True,,1,40
193,loss,Disease,True,,2,50
193,loss,Disease,,True,1,33
193,loss,Unemployment,True,,0,70
193,loss,Painting,True,,0,29
193,loss,Virus,True,,2,50
193,loss,Virus,,True,1,56
194,gain,Disease,True,,2,80
194,gain,Disease,,True,1,70
194,gain,Unemployment,True,,1,95
194,gain,Painting,True,,1,88
194,gain,Virus,True,,1,94
195,gain,Disease,True,,2,40
195,gain,Disease,,True,0,45
195,gain,Unemployment,True,,1,55
195,gain,Painting,True,,0,45
195,gain,Virus,True,,1,53
196,loss,Disease,True,,1,65
196,loss,Unemployment,True,,0,71
196,loss,Painting,True,,0,65
196,loss,Virus,True,,0,65
